order_id,restaurant_id,order_time,amount,status,payment_method,city
1,108,2024-01-04 22:34:00,733,COMPLETED,GOOGLE_PAY,Liverpool
2,137,2024-01-05 09:14:00,506,COMPLETED,CARD,Leeds
3,123,2024-01-02 18:24:00,471,FAILED,GOOGLE_PAY,London
4,133,2024-01-04 12:23:00,763,COMPLETED,ONLINE,London
5,108,2024-01-06 18:43:00,656,COMPLETED,CARD,Birmingham
6,102,2024-01-03 09:01:00,457,COMPLETED,GOOGLE_PAY,Leeds
7,122,2024-01-04 15:41:00,704,CANCELLED,ONLINE,London
8,140,2024-01-01 17:27:00,640,COMPLETED,ONLINE,Manchester
9,114,2024-01-02 04:49:00,264,COMPLETED,APPLE_PAY,Manchester
10,140,2024-01-05 10:10:00,516,COMPLETED,ONLINE,Liverpool
11,118,2024-01-04 18:28:00,325,COMPLETED,CARD,London
12,121,2024-01-04 06:45:00,606,COMPLETED,APPLE_PAY,Birmingham
13,138,2024-01-07 22:05:00,116,COMPLETED,GOOGLE_PAY,Leeds
14,122,2024-01-06 09:07:00,651,COMPLETED,APPLE_PAY,Birmingham
15,115,2024-01-02 04:01:00,350,COMPLETED,CARD,Liverpool
16,130,2024-01-02 23:28:00,495,FAILED,CARD,London
17,102,2024-01-04 11:50:00,160,CANCELLED,GOOGLE_PAY,Leeds
18,124,2024-01-04 04:10:00,238,COMPLETED,CARD,London
19,123,2024-01-05 13:01:00,151,COMPLETED,GOOGLE_PAY,Leeds
20,106,2024-01-04 06:48:00,249,COMPLETED,CARD,Birmingham
21,114,2024-01-04 13:04:00,233,FAILED,ONLINE,Leeds
22,121,2024-01-08 00:26:00,768,COMPLETED,GOOGLE_PAY,London
23,110,2024-01-07 11:53:00,754,COMPLETED,APPLE_PAY,London
24,122,2024-01-04 02:55:00,141,COMPLETED,APPLE_PAY,Birmingham
25,105,2024-01-08 05:54:00,756,COMPLETED,CARD,Birmingham
26,114,2024-01-02 13:22:00,791,CANCELLED,APPLE_PAY,Birmingham
27,109,2024-01-02 13:50:00,446,CANCELLED,ONLINE,Manchester
28,107,2024-01-05 12:52:00,172,COMPLETED,ONLINE,Liverpool
29,117,2024-01-07 06:07:00,386,FAILED,CARD,Leeds
30,128,2024-01-04 02:16:00,192,CANCELLED,APPLE_PAY,Manchester
31,131,2024-01-04 14:06:00,651,COMPLETED,APPLE_PAY,Birmingham
32,136,2024-01-05 05:00:00,473,COMPLETED,APPLE_PAY,Manchester
33,124,2024-01-03 12:20:00,715,COMPLETED,GOOGLE_PAY,Birmingham
34,124,2024-01-07 04:10:00,117,COMPLETED,CARD,Liverpool
35,127,2024-01-02 13:40:00,729,COMPLETED,ONLINE,Leeds
36,106,2024-01-06 18:52:00,688,FAILED,ONLINE,Birmingham
37,129,2024-01-07 03:55:00,646,CANCELLED,ONLINE,Leeds
38,133,2024-01-06 22:11:00,770,COMPLETED,CARD,London
39,120,2024-01-07 10:03:00,355,COMPLETED,ONLINE,Birmingham
40,107,2024-01-05 21:31:00,480,COMPLETED,APPLE_PAY,London
41,133,2024-01-07 00:34:00,623,COMPLETED,ONLINE,Liverpool
42,124,2024-01-05 23:49:00,531,COMPLETED,CARD,Leeds
43,106,2024-01-08 07:28:00,355,COMPLETED,ONLINE,Birmingham
44,129,2024-01-03 21:25:00,395,COMPLETED,ONLINE,London
